,Date,Content,Section
1049,2016-08-22,"Cryptic crossword No 26,970",crosswords
1050,2016-08-22,Crossword roundup: the Olympics that never were,crosswords
1051,2016-08-22,"Speedy crossword No 1,091",crosswords
1052,2016-08-21,"Quick crossword No 14,442",crosswords
1053,2016-08-21,"Cryptic crossword No 26,969",crosswords
1054,2016-08-21,Quiptic crossword No 875,crosswords
1055,2016-08-20,"Azed Crossword 2,307",crosswords
1056,2016-08-20,"Everyman crossword No 3,646",crosswords
1057,2016-08-19,"Quick crossword No 14,441",crosswords
1058,2016-08-19,"Prize crossword No 26,968",crosswords
1059,2016-08-18,"Annotated solutions for Prize 26,962",crosswords
1060,2016-08-18,"Cryptic crossword No 26,967",crosswords
1061,2016-08-18,"Quick crossword No 14,440",crosswords
1062,2016-08-17,"Cryptic crossword No 26,966",crosswords
1063,2016-08-17,"Quick crossword No 14,439",crosswords
1064,2016-08-16,"Quick crossword No 14,438",crosswords
1065,2016-08-16,"Cryptic crossword No 26,965",crosswords
1066,2016-08-15,"Cryptic crossword No 26,964",crosswords
1067,2016-08-15,"Quick crossword No 14,437",crosswords
1068,2016-08-15,Crossword blog: puzzles on canvas,crosswords
1069,2016-08-14,Quiptic crossword No 874,crosswords
1070,2016-08-14,"Cryptic crossword No 26,963",crosswords
1071,2016-08-13,"Azed Crossword 2,306",crosswords
1072,2016-08-13,"Everyman crossword No 3,645",crosswords
1073,2016-08-13,"Speedy crossword No 1,090",crosswords
1074,2016-08-12,"Quick crossword No 14,435",crosswords
1075,2016-08-12,"Prize crossword No 26,962",crosswords
1076,2016-08-12,"Annotated solutions for Prize 26,956",crosswords
1077,2016-08-11,"Quick crossword No 14,434",crosswords
1078,2016-08-11,"Cryptic crossword No 26,961",crosswords
1079,2016-08-10,"Cryptic crossword No 26,960",crosswords
1080,2016-08-09,"Quick crossword No 14,432",crosswords
1081,2016-08-09,"Cryptic crossword No 26,959",crosswords
1082,2016-08-08,"Quick crossword No 14,431",crosswords
1083,2016-08-08,"Cryptic crossword No 26,958",crosswords
1084,2016-08-08,Crossword roundup: a lorra lorra anniversaries,crosswords
1085,2016-08-07,"Cryptic crossword No 26,957",crosswords
1086,2016-08-07,Quiptic crossword No 873,crosswords
1087,2016-08-07,"Quick crossword No 14,430",crosswords
1088,2016-08-07,Cross words about clueless solutions | Letters,crosswords
1089,2016-08-07,"Speedy crossword No 1,089",crosswords
1090,2016-08-06,"Azed Crossword 2,305",crosswords
1091,2016-08-06,"Everyman crossword No 3,644",crosswords
1092,2016-08-05,"Quick crossword No 14,429",crosswords
1093,2016-08-05,"Prize crossword No 26,956",crosswords
1094,2016-08-05,"Annotated solutions for Prize 26,950",crosswords
1095,2016-08-04,"Cryptic crossword No 26,955",crosswords
1096,2016-08-04,"Quick crossword No 14,428",crosswords
1097,2016-08-03,"Cryptic crossword No 26,954",crosswords
1098,2016-08-03,"Quick crossword No 14,427",crosswords
1099,2016-08-03,Annotated solutions for Genius 157,crosswords
1100,2016-08-02,"Cryptic crossword No 26,953",crosswords
1101,2016-08-02,"Quick crossword No 14,426",crosswords
1102,2016-08-01,"Cryptic crossword No 26,952",crosswords
1103,2016-08-01,Crossword blog: meet the letter K,crosswords
1104,2016-07-31,Genius crossword No 158,crosswords
1105,2016-07-31,Quiptic crossword No 872,crosswords
1106,2016-07-31,"Quick crossword No 14,424",crosswords
1107,2016-07-31,"Cryptic crossword No 26,951",crosswords
1108,2016-07-31,"Everyman crossword No 3,643",crosswords
1109,2016-07-31,"Speedy crossword No 1,088",crosswords
1110,2016-07-30,"Azed Crossword 2,304",crosswords
1111,2016-07-29,"Prize crossword No 26,950",crosswords
1112,2016-07-29,"Quick crossword No 14,423",crosswords
1113,2016-07-29,"Annotated solutions for Prize 26,944",crosswords
1114,2016-07-28,"Quick crossword No 14,422",crosswords
1115,2016-07-28,"Cryptic crossword No 26,949",crosswords
1116,2016-07-27,"Cryptic crossword No 26,948",crosswords
1117,2016-07-27,"Quick crossword No 14,421",crosswords
1118,2016-07-26,"Cryptic crossword No 26,947",crosswords
1119,2016-07-26,"Quick crossword No 14,420",crosswords
1120,2016-07-25,"Quick crossword No 14,419",crosswords
1121,2016-07-25,"Cryptic crossword No 26,946",crosswords
1122,2016-07-25,Crossword blog: from Estonia to Uganda,crosswords
1123,2016-07-24,Quiptic crossword No 871,crosswords
1124,2016-07-24,"Cryptic crossword No 26,945",crosswords
1125,2016-07-24,"Quick crossword No 14,418",crosswords
1126,2016-07-24,"Speedy crossword No 1,087",crosswords
1127,2016-07-24,"Everyman crossword No 3,642",crosswords
1128,2016-07-23,"Azed Crossword 2,303",crosswords
1129,2016-07-23,"Quick crossword No 14,417",crosswords
1130,2016-07-23,"Prize crossword No 26,944",crosswords
1131,2016-07-22,"Azed slip No 2,300",crosswords
1132,2016-07-22,"Annotated solutions for Prize 26,938",crosswords
1133,2016-07-22,"Cryptic crossword No 26,943",crosswords
1134,2016-07-22,"Quick crossword No 14,416",crosswords
1135,2016-07-21,"Quick crossword No 14,415",crosswords
1136,2016-07-21,"Cryptic crossword No 26,942",crosswords
1137,2016-07-20,"Quick crossword No 14,414",crosswords
1138,2016-07-20,"Cryptic crossword No 26,941",crosswords
1139,2016-07-19,"Quick crossword No 14,413",crosswords
1140,2016-07-19,"Cryptic crossword No 26,940",crosswords
1141,2016-07-18,Crossword blog: when solving a crossword is a criminal act,crosswords
1142,2016-07-18,Quiptic crossword No 870,crosswords
1143,2016-07-18,"Quick crossword No 14,412",crosswords
1144,2016-07-18,"Cryptic crossword No 26,939",crosswords
1145,2016-07-17,"Speedy crossword No 1,086",crosswords
1146,2016-07-17,"Everyman crossword No 3,641",crosswords
1147,2016-07-16,"Azed Crossword 2,302",crosswords
1148,2016-07-16,"Prize crossword No 26,938",crosswords
1149,2016-07-16,"Quick crossword No 14,411",crosswords
1150,2016-07-15,"Annotated solutions for Prize 26,932",crosswords
1151,2016-07-15,"Cryptic crossword No 26,937",crosswords
1152,2016-07-14,"Quick crossword No 14,410",crosswords
1153,2016-07-14,"Cryptic crossword No 26,936",crosswords
1154,2016-07-13,"Quick crossword No 14,409",crosswords
1155,2016-07-13,"Quick crossword No 14,408",crosswords
1156,2016-07-13,"Cryptic crossword No 26,935",crosswords
1157,2016-07-12,"Quick crossword No 14,407",crosswords
1158,2016-07-12,"Cryptic crossword No 26,934",crosswords
1159,2016-07-11,Crossword roundup: the language of Brexit and Chilcot,crosswords
1160,2016-07-11,Quiptic crossword No 869,crosswords
1161,2016-07-11,"Cryptic crossword No 26,933",crosswords
1162,2016-07-11,"Quick crossword No 14,406",crosswords
1163,2016-07-10,"Speedy crossword No 1,085",crosswords
1164,2016-07-10,"Everyman crossword No 3,640",crosswords
1165,2016-07-09,"Azed Crossword 2,301",crosswords
1166,2016-07-09,"Quick crossword No 14,405",crosswords
1167,2016-07-09,"Prize crossword No 26,932",crosswords
1168,2016-07-08,"Annotated solutions for Prize 26,926",crosswords
1169,2016-07-08,"Quick crossword No 14,404",crosswords
1170,2016-07-08,"Cryptic crossword No 26,931",crosswords
1171,2016-07-07,"Cryptic crossword No 26,930",crosswords
1172,2016-07-07,"Quick crossword No 14,403",crosswords
1173,2016-07-06,"Cryptic crossword No 26,929",crosswords
1174,2016-07-06,"Quick crossword No 14,402",crosswords
1175,2016-07-05,"Cryptic crossword No 26,928",crosswords
1176,2016-07-05,"Quick crossword No 14,401",crosswords
1177,2016-07-04,Crossword blog: discussing tone without shouting,crosswords
1178,2016-07-04,Quiptic crossword No 868,crosswords
1179,2016-07-04,"Cryptic crossword No 26,927",crosswords
1180,2016-07-04,"Quick crossword No 14,400",crosswords
1181,2016-07-03,Genius crossword 157,crosswords
1182,2016-07-03,Annotated solutions for Genius 156,crosswords
1183,2016-07-03,"Speedy crossword No 1,084",crosswords
1184,2016-07-03,"Everyman crossword No 3,639",crosswords
1185,2016-07-02,"Azed Crossword 2,300",crosswords
1186,2016-07-02,"Quick crossword No 14,399",crosswords
1187,2016-07-02,"Prize crossword No 26,926",crosswords
1188,2016-07-01,"Annotated solutions for Prize 26,920",crosswords
1189,2016-07-01,"Cryptic crossword No 26,925",crosswords
1190,2016-07-01,"Quick crossword No 14,398",crosswords
1191,2016-06-30,"Cryptic crossword No 26,924",crosswords
1192,2016-06-30,"Quick crossword No 14,397",crosswords
1193,2016-06-29,"Quick crossword No 14,396",crosswords
1194,2016-06-29,"Cryptic crossword No 26,923",crosswords
1195,2016-06-28,"Cryptic crossword No 26,922",crosswords
1196,2016-06-28,"Quick crossword No 14,395",crosswords
1197,2016-06-27,"Quick crossword No 14,394",crosswords
1198,2016-06-27,"Cryptic crossword No 26,921",crosswords
1199,2016-06-27,Quiptic crossword No 867,crosswords
1200,2016-06-26,"Azed Crossword 2,299",crosswords
1201,2016-06-26,"Everyman crossword No 3,638",crosswords
1202,2016-06-26,"Speedy crossword No 1,083",crosswords
1203,2016-06-25,"Azed slip No 2,296",crosswords
1204,2016-06-25,"Quick crossword No 14,393",crosswords
1205,2016-06-25,"Prize crossword No 26,920",crosswords
1206,2016-06-24,Crossword blog: Boatman's referendum puzzle,crosswords
1207,2016-06-24,"Cryptic crossword No 26,919",crosswords
1208,2016-06-24,"Quick crossword No 14,392",crosswords
1209,2016-06-23,"Annotated solutions for Prize 26,914",crosswords
1210,2016-06-23,Crossword blog: a one-off puzzle from Boatman and Crew,crosswords
1211,2016-06-23,"Cryptic crossword No 26,918",crosswords
1212,2016-06-23,"Quick crossword No 14,391",crosswords
1213,2016-06-22,"Cryptic crossword No 26,917",crosswords
1214,2016-06-22,"Quick crossword No 14,390",crosswords
1215,2016-06-21,"Cryptic crossword No 26,916",crosswords
1216,2016-06-21,"Quick crossword No 14,389",crosswords
1217,2016-06-20,"Speedy crossword No 1,082",crosswords
1218,2016-06-20,"Annotated solutions for Prize 26,908",crosswords
1219,2016-06-20,"Cryptic crossword No 26,915",crosswords
1220,2016-06-20,Crossword blog: come back with a printer on Thursday,crosswords
1221,2016-06-20,"Quick crossword No 14,388",crosswords
1222,2016-06-20,Quiptic crossword No 866,crosswords
1223,2016-06-19,"Everyman crossword No 3,637",crosswords
1224,2016-06-18,"Azed Crossword 2,298",crosswords
1225,2016-06-18,"Quick crossword No 14,387",crosswords
1226,2016-06-17,"Prize Crossword No 26,914",crosswords
1227,2016-06-17,Bottling out,crosswords
1228,2016-06-17,"Quick crossword No 14,386",crosswords
1229,2016-06-16,"Cryptic crossword No 26,913",crosswords
1230,2016-06-16,"Quick crossword No 14,385",crosswords
1231,2016-06-16,"Cryptic crossword No 26,912",crosswords
1232,2016-06-15,"Cryptic crossword No 26,911",crosswords
1233,2016-06-14,"Quick crossword No 14,382",crosswords
1234,2016-06-14,"Quick crossword No 14,383",crosswords
1235,2016-06-14,"Speedy crossword No 1,081",crosswords
1236,2016-06-14,Quiptic crossword No 865,crosswords
1237,2016-06-14,"Quick crossword No 14,383",crosswords
1238,2016-06-14,"Cryptic crossword No 26,910",crosswords
1239,2016-06-13,"Quick crossword No 14,382",crosswords
1240,2016-06-13,"Speedy crossword No 1,081",crosswords
1241,2016-06-13,Crossword roundup: backward boys and topless yobs,crosswords
1242,2016-06-13,"Cryptic crossword No 26,909",crosswords
1243,2016-06-12,"Everyman crossword No 3,636",crosswords
1244,2016-06-11,"Azed Crossword 2,297",crosswords
1245,2016-06-11,"Quick crossword No 14,381",crosswords
1246,2016-06-11,"Prize crossword No 26,908",crosswords
1247,2016-06-10,"Annotated solutions for Prize 26,902",crosswords
1248,2016-06-10,"Annotated solutions for Prize 26,896",crosswords
1249,2016-06-10,"Quick crossword No 14,380",crosswords
1250,2016-06-10,"Cryptic crossword No 26,907",crosswords
1251,2016-06-09,"Cryptic crossword No 26,906",crosswords
1252,2016-06-09,"Quick crossword No 14,379",crosswords
1253,2016-06-08,"Cryptic crossword No 26,905",crosswords
1254,2016-06-08,"Quick crossword No 14,378",crosswords
1255,2016-06-07,"Quick crossword No 14,377",crosswords
1256,2016-06-07,"Cryptic crossword No 26,904",crosswords
1257,2016-06-06,"Speedy crossword No 1,080",crosswords
1258,2016-06-06,Why crosswords are a survivalist's essential,crosswords
1259,2016-06-06,"Cryptic crossword No 26,903",crosswords
1260,2016-06-06,"Quick crossword No 14,376",crosswords
1261,2016-06-06,Quiptic crossword No 864,crosswords
1262,2016-06-05,Annotated solutions for Genius 155,crosswords
1263,2016-06-05,Genius No 156,crosswords
1264,2016-06-05,"Everyman crossword No 3,635",crosswords
1265,2016-06-04,"Azed Crossword 2,296",crosswords
1266,2016-06-04,"Prize crossword No 26,902",crosswords
1267,2016-06-04,"Quick crossword No 14,375",crosswords
1268,2016-06-03,"Quick crossword No 14,374",crosswords
1269,2016-06-03,"Cryptic crossword No 26,901",crosswords
1270,2016-06-02,"Cryptic crossword No 26,900",crosswords
1271,2016-06-01,"Quick crossword No 14,372",crosswords
1272,2016-06-01,"Cryptic crossword No 26,899",crosswords
1273,2016-05-31,Crossword roundup: the pervasive stink of Jeremy Hunt,crosswords
1274,2016-05-31,"Quick crossword No 14,371",crosswords
1275,2016-05-31,"Cryptic crossword No 26,898",crosswords
1276,2016-05-30,"Quick crossword No 14,370",crosswords
1277,2016-05-30,"Cryptic crossword No 26,897",crosswords
1278,2016-05-30,Quiptic crossword No 863,crosswords
1279,2016-05-29,"Speedy crossword No 1,079",crosswords
1280,2016-05-28,"Azed Crossword 2,295",crosswords
1281,2016-05-28,"Everyman crossword No 3,634",crosswords
1282,2016-05-28,"Prize crossword No 26,896",crosswords
1283,2016-05-28,"Quick crossword No 14,369",crosswords
1284,2016-05-27,"Cryptic crossword No 26,895",crosswords
1285,2016-05-27,"Quick crossword No 14,368",crosswords
1286,2016-05-26,"Annotated solutions for Prize 26,890",crosswords
1287,2016-05-26,"Quick crossword No 14,367",crosswords
1288,2016-05-26,"Cryptic crossword No 26,894",crosswords
1289,2016-05-25,"Quick crossword No 14,366",crosswords
1290,2016-05-25,"Cryptic crossword No 26,893",crosswords
1291,2016-05-24,"Cryptic crossword No 26,892",crosswords
1292,2016-05-24,"Quick crossword No 14,365",crosswords
1293,2016-05-23,Crossword blog: how tasty are old chestnuts?,crosswords
1294,2016-05-23,Quiptic crossword No 862,crosswords
1295,2016-05-23,"Cryptic crossword No 26,891",crosswords
1296,2016-05-23,"Quick crossword No 14,364",crosswords
1297,2016-05-22,"Speedy crossword No 1,078",crosswords
1298,2016-05-21,"Azed Crossword 2,294",crosswords
1299,2016-05-21,"Everyman crossword No 3,633",crosswords
1300,2016-05-21,More pros than cons for the anagram,crosswords
1301,2016-05-21,"Quick crossword No 14,363",crosswords
1302,2016-05-21,"Prize crossword No 26,890",crosswords
1303,2016-05-20,"Azed slip No 2,291",crosswords
1304,2016-05-20,"Annotated solutions for Prize 26,884",crosswords
1305,2016-05-20,"Quick crossword No 14,362",crosswords
1306,2016-05-20,"Cryptic crossword No 26,889",crosswords
1307,2016-05-19,"Cryptic crossword No 26,888",crosswords
1308,2016-05-19,"Quick crossword No 14,361",crosswords
1309,2016-05-18,"Quick crossword No 14,360",crosswords
1310,2016-05-18,"Cryptic crossword No 26,887",crosswords
1311,2016-05-17,"Cryptic crossword No 26,886",crosswords
1312,2016-05-17,"Quick crossword No 14,359",crosswords
1313,2016-05-16,Crossword roundup: cryptic obituaries,crosswords
1314,2016-05-16,Quiptic crossword No 861,crosswords
1315,2016-05-16,"Quick crossword No 14,358",crosswords
1316,2016-05-16,"Cryptic crossword No 26,885",crosswords
1317,2016-05-15,"Speedy crossword No 1,077",crosswords
1318,2016-05-14,"Azed Crossword 2,293",crosswords
1319,2016-05-14,"Everyman crossword No 3,632",crosswords
1320,2016-05-14,"Annotated solutions for Prize 26,878",crosswords
1321,2016-05-14,"Quick crossword No 14,357",crosswords
1322,2016-05-14,"Prize crossword No 26,884",crosswords
1323,2016-05-13,"Quick crossword No 14,356",crosswords
1324,2016-05-13,"Cryptic crossword No 26,883",crosswords
1325,2016-05-12,"Quick crossword No 14,355",crosswords
1326,2016-05-12,"Cryptic crossword No 26,882",crosswords
1327,2016-05-11,"Quick crossword No 14,354",crosswords
1328,2016-05-11,"Cryptic crossword No 26,881",crosswords
1329,2016-05-10,"Cryptic crossword No 26,880",crosswords
1330,2016-05-10,"Quick crossword No 14,353",crosswords
1331,2016-05-09,"Everyman crossword No 3,631",crosswords
1332,2016-05-09,Crossword blog: how 'clever' are cryptic solvers?,crosswords
1333,2016-05-09,Quiptic crossword No 860,crosswords
1334,2016-05-09,"Cryptic crossword No 26,879",crosswords
1335,2016-05-09,"Quick crossword No 14,352",crosswords
1336,2016-05-08,"Speedy crossword No 1,076",crosswords
1337,2016-05-07,"Azed Crossword 2,292",crosswords
1338,2016-05-07,"Annotated solutions for Prize 26,872",crosswords
1339,2016-05-07,"Prize crossword No 26,878",crosswords
1340,2016-05-06,"Quick crossword No 14,351",crosswords
1341,2016-05-05,"Cryptic crossword No 26,877",crosswords
1342,2016-05-05,"Quick crossword No 14,350",crosswords
1343,2016-05-05,"Cryptic crossword No 26,876",crosswords
1344,2016-05-04,"Quick crossword No 14,349",crosswords
1345,2016-05-04,"Quick crossword No 14,348",crosswords
1346,2016-05-03,"Cryptic crossword No 26,875",crosswords
1347,2016-05-03,Gordon Holt obituary,crosswords
1348,2016-05-02,"Cryptic crossword No 26,874",crosswords
1349,2016-05-02,"Quick crossword No 14,347",crosswords
1350,2016-05-02,Cryptic crosswords for beginners: army games,crosswords
1351,2016-05-02,"Cryptic crossword No 26,873",crosswords
1352,2016-05-01,Genius No 155,crosswords
1353,2016-05-01,Annotated solutions for Genius 154,crosswords
1354,2016-05-01,"Quick crossword No 14,346",crosswords
1355,2016-05-01,Quiptic crossword No 859,crosswords
1356,2016-05-01,"Speedy crossword No 1,075",crosswords
1357,2016-04-30,"Azed Crossword 2,291",crosswords
1358,2016-04-30,"Everyman crossword No 3,630",crosswords
1359,2016-04-29,"Prize crossword No 26,872",crosswords
1360,2016-04-29,"Quick crossword No 14,345",crosswords
1361,2016-04-29,"Quick crossword No 14,344",crosswords
1362,2016-04-28,"Annotated solutions for Prize 26,866",crosswords
1363,2016-04-28,"Cryptic crossword No 26,871",crosswords
1364,2016-04-28,"Quick crossword No 14,343",crosswords
1365,2016-04-27,"Cryptic crossword No 26,870",crosswords
1366,2016-04-27,"Cryptic crossword No 26,869",crosswords
1367,2016-04-26,"Quick crossword No 14,342",crosswords
1368,2016-04-25,"Quick crossword No 14,341",crosswords
1369,2016-04-25,"Cryptic crossword No 26,868",crosswords
1370,2016-04-25,"Azed slip No 2,287",crosswords
1371,2016-04-25,Crossword roundup: Bard grids,crosswords
1372,2016-04-24,"Cryptic crossword No 26,867",crosswords
1373,2016-04-24,Quiptic crossword No 858,crosswords
1374,2016-04-24,"Quick crossword No 14,340",crosswords
1375,2016-04-24,"Speedy crossword No 1,074",crosswords
1376,2016-04-24,"Everyman crossword No 3,629",crosswords
1377,2016-04-23,"Azed Crossword 2,290",crosswords
1378,2016-04-22,"Quick crossword No 14,339",crosswords
1379,2016-04-22,"Prize crossword No 26,866",crosswords
1380,2016-04-21,"Annotated solutions for Prize 26,860",crosswords
1381,2016-04-21,"Quick crossword No 14,338",crosswords
1382,2016-04-20,"Cryptic crossword No 26,864",crosswords
1383,2016-04-20,"Quick crossword No 14,337",crosswords
1384,2016-04-19,"Cryptic crossword No 26,863",crosswords
1385,2016-04-19,"Quick crossword No 14,336",crosswords
1386,2016-04-18,"Cryptic crossword No 26,862",crosswords
1387,2016-04-18,"Quick crossword No 14,335",crosswords
1388,2016-04-18,Crossword blog: Blindspot and when fictional puzzles become real,crosswords
1389,2016-04-17,Quiptic crossword No 857,crosswords
1390,2016-04-17,"Quick crossword No 14,334",crosswords
1391,2016-04-17,"Cryptic crossword No 26,861",crosswords
1392,2016-04-17,"Speedy crossword No 1,073",crosswords
1393,2016-04-17,"Everyman crossword No 3,628",crosswords
1394,2016-04-16,"Azed Crossword 2,289",crosswords
1395,2016-04-16,"Prize crossword No 26,860",crosswords
1396,2016-04-15,"Quick crossword No 14,333",crosswords
1397,2016-04-15,"Cryptic crossword No 26,859",crosswords
1398,2016-04-14,"Annotated solutions for Prize 26,854",crosswords
1399,2016-04-14,"Quick crossword No 14,332",crosswords
1400,2016-04-14,"Quick crossword No 14,331",crosswords
1401,2016-04-14,"Cryptic crossword No 26,858",crosswords
1402,2016-04-13,"Cryptic crossword No 26,857",crosswords
1403,2016-04-13,"Quick crossword No 14,330",crosswords
1404,2016-04-12,"Cryptic crossword No 26,856",crosswords
1405,2016-04-11,"Quick crossword No 14,329",crosswords
1406,2016-04-11,Crossword roundup: covert spies and cats' whiskers,crosswords
1407,2016-04-11,"Cryptic crossword No 26,855",crosswords
1408,2016-04-11,"Quick crossword No 14,328",crosswords
1409,2016-04-11,Quiptic crossword No 856,crosswords
1410,2016-04-10,"Everyman crossword No 3,627",crosswords
1411,2016-04-10,"Speedy crossword No 1,072",crosswords
1412,2016-04-09,"Azed Crossword 2,288",crosswords
1413,2016-04-09,"Prize crossword No 26,854",crosswords
1414,2016-04-09,"Quick crossword No 14,327",crosswords
1415,2016-04-08,"Cryptic crossword No 26,853",crosswords
1416,2016-04-08,"Quick crossword No 14,326",crosswords
1417,2016-04-07,"Annotated solutions for Prize 26,848",crosswords
1418,2016-04-07,"Cryptic crossword No 26,852",crosswords
1419,2016-04-07,"Quick crossword No 14,325",crosswords
1420,2016-04-06,"Quick crossword No 14,324",crosswords
1421,2016-04-06,"Cryptic crossword No 26,851",crosswords
1422,2016-04-05,"Cryptic crossword No 26,850",crosswords
1423,2016-04-04,"Quick crossword No 14,323",crosswords
1424,2016-04-04,April Fools' day fatigue strikes crossword setters worldwide,crosswords
1425,2016-04-04,Quiptic crossword No 855,crosswords
1426,2016-04-04,"Quick crossword No 14,322",crosswords
1427,2016-04-04,"Cryptic crossword No 26,849",crosswords
1428,2016-04-03,Annotated solutions for Genius 153,crosswords
1429,2016-04-03,Genius crossword No 154,crosswords
1430,2016-04-03,"Speedy crossword No 1,071",crosswords
1431,2016-04-03,"Everyman crossword No 3,626",crosswords
1432,2016-04-02,"Azed Crossword 2,287",crosswords
1433,2016-04-02,"Quick crossword No 14,321",crosswords
1434,2016-04-02,"Prize crossword No 26,848",crosswords
1435,2016-04-01,"Quick crossword No 14,320",crosswords
1436,2016-04-01,"Cryptic crossword No 26,847",crosswords
1437,2016-03-31,"Annotated solutions for Prize 26,842",crosswords
1438,2016-03-31,"Quick crossword No 14,319",crosswords
1439,2016-03-31,"Cryptic crossword No 26,846",crosswords
1440,2016-03-30,"Quick crossword No 14,318",crosswords
1441,2016-03-30,"Cryptic crossword No 26,845",crosswords
1442,2016-03-29,"Quick crossword No 14,317",crosswords
1443,2016-03-29,"Cryptic crossword No 26,844",crosswords
1444,2016-03-28,Crossword roundup: WB Yeats and a homeless Beelzebub,crosswords
1445,2016-03-28,"Quick crossword No 14,316",crosswords
1446,2016-03-28,Quiptic crossword No 854,crosswords
1447,2016-03-28,"Cryptic crossword No 26,843",crosswords
1448,2016-03-27,"Azed Crossword 2,286",crosswords
1449,2016-03-27,"Azed slip No 2,283",crosswords
1450,2016-03-27,"Speedy crossword No 1,070",crosswords
1451,2016-03-27,"Everyman crossword No 3,625",crosswords
1452,2016-03-26,"Prize crossword No 26,842",crosswords
1453,2016-03-26,"Quick crossword No 14,315",crosswords
1454,2016-03-25,"Annotated solutions for Prize 26,836",crosswords
1455,2016-03-25,"Cryptic crossword No 26,841",crosswords
1456,2016-03-25,"Quick crossword No 14,314",crosswords
1457,2016-03-24,"Quick crossword No 14,313",crosswords
1458,2016-03-24,"Cryptic crossword No 26,840",crosswords
1459,2016-03-23,"Quick crossword No 14,312",crosswords
1460,2016-03-23,"Cryptic crossword No 26,839",crosswords
1461,2016-03-22,"Quick crossword No 14,311",crosswords
1462,2016-03-22,"Cryptic crossword No 26,838",crosswords
1463,2016-03-21,Thumbs up or down?,crosswords
1464,2016-03-21,Cryptic crosswords for beginners: capital letters,crosswords
1465,2016-03-21,"Everyman crossword No 3,624",crosswords
1466,2016-03-21,Quiptic crossword No 853,crosswords
1467,2016-03-21,"Cryptic crossword No 26,837",crosswords
1468,2016-03-21,"Quick crossword No 14,310",crosswords
1469,2016-03-20,"Azed Crossword 2,285",crosswords
1470,2016-03-20,"Speedy crossword No 1,069",crosswords
1471,2016-03-19,"Prize crossword No 26,836",crosswords
1472,2016-03-19,"Quick crossword No 14,309",crosswords
1473,2016-03-18,"Annotated solutions for Prize 26,830",crosswords
1474,2016-03-18,"Quick crossword No 14,308",crosswords
1475,2016-03-18,"Cryptic crossword No 26,835",crosswords
1476,2016-03-17,"Quick crossword No 14,307",crosswords
1477,2016-03-17,"Cryptic crossword No 26,834",crosswords
1478,2016-03-16,"Quick crossword No 14,306",crosswords
1479,2016-03-16,"Cryptic crossword No 26,833",crosswords
1480,2016-03-15,"Quick crossword No 14,305",crosswords
1481,2016-03-15,"Cryptic crossword No 26,832",crosswords
1482,2016-03-14,"Crossword roundup: emigres and emigrants, immigrants and migrants",crosswords
1483,2016-03-14,"Quick crossword No 14,304",crosswords
1484,2016-03-14,"Cryptic crossword No 26,831",crosswords
1485,2016-03-14,Quiptic crossword No 852,crosswords
1486,2016-03-13,"Azed Crossword 2,284",crosswords
1487,2016-03-13,"Everyman crossword No 3,623",crosswords
1488,2016-03-13,"Speedy crossword No 1,068",crosswords
1489,2016-03-12,"Prize crossword No 26,830",crosswords
1490,2016-03-12,"Quick crossword No 14,303",crosswords
1491,2016-03-11,"Annotated solutions for Prize 26,824",crosswords
1492,2016-03-11,"Cryptic crossword No 26,829",crosswords
1493,2016-03-11,"Quick crossword No 14,302",crosswords
1494,2016-03-10,"Quick crossword No 14,301",crosswords
1495,2016-03-10,"Cryptic crossword No 26,828",crosswords
1496,2016-03-09,"Quick crossword No 14,300",crosswords
1497,2016-03-09,"Cryptic crossword No 26,827",crosswords
1498,2016-03-08,"Cryptic crossword No 26,826",crosswords
1499,2016-03-08,"Quick crossword No 14,299",crosswords
1500,2016-03-07,The great US crossword 'plagiarism' mystery,crosswords
1501,2016-03-07,Genius crossword No 153,crosswords
1502,2016-03-07,Quiptic crossword No 851,crosswords
1503,2016-03-07,"Cryptic crossword No 26,825",crosswords
1504,2016-03-07,"Quick crossword No 14,298",crosswords
1505,2016-03-06,"Azed Crossword 2,283",crosswords
1506,2016-03-06,"Speedy crossword No 1,067",crosswords
1507,2016-03-06,"Everyman crossword No 3,622",crosswords
1508,2016-03-05,"Quick crossword No 14,297",crosswords
1509,2016-03-05,"Prize crossword No 26,824",crosswords
1510,2016-03-04,"Annotated solutions for Prize 26,818",crosswords
1511,2016-03-04,"Cryptic crossword No 26,823",crosswords
1512,2016-03-04,"Quick crossword No 14,296",crosswords
1513,2016-03-03,Annotated solutions for Genius 152,crosswords
1514,2016-03-03,"Azed slip No 2,279",crosswords
1515,2016-03-03,"Cryptic crossword No 26,822",crosswords
1516,2016-03-03,"Quick crossword No 14,295",crosswords
1517,2016-03-02,"Quick crossword No 14,294",crosswords
1518,2016-03-02,"Cryptic crossword No 26,821",crosswords
1519,2016-03-01,Crossword blog: the truth about crosswords and dementia,crosswords
1520,2016-03-01,"Cryptic crossword No 26,820",crosswords
1521,2016-03-01,"Quick crossword No 14,293",crosswords
1522,2016-02-29,"Quick crossword No 14,292",crosswords
1523,2016-02-29,Quiptic crossword No 850,crosswords
1524,2016-02-29,"Cryptic crossword No 26,819",crosswords
1525,2016-02-28,"Azed Crossword 2,282",crosswords
1526,2016-02-28,"Everyman crossword No 3,621",crosswords
1527,2016-02-27,"Prize crossword No 26,818",crosswords
1528,2016-02-27,"Quick crossword No 14,291",crosswords
